"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59513.8785099454","55533.5289918518","51787.0575753467","47551.8540843473","44669.6315497451","47720.5118154214","46024.6473085196","48148.1120279388","48394.957680698","47067.9547550646","45785.4963572705","43340.1148193477","43971.1138992414","46074.2925781203","47781.8605815617","48245.8400877116","47627.2459823259","45905.547408823","",
"Bahamas, The","BHS","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33786.825195688","34431.1123591061","36551.7145028695","38441.0319845613","32841.408656862","32220.5486817539","41938.4525942824","42967.6483614133","36417.8424033616","38034.8867678924","31948.3873031001","34789.2781893445","42424.318874705","39112.9488102107","38938.4691010758","41427.3941926046","32072.9656961374","39596.7620918216","39056.6698690117","49042.5491205603","56673.985067088","62420.1012990759","61709.3681430308","65345.0856847794","57314.9343813161","67330.7454010557","58646.5918466617","53939.7141492298","54166.9474833904","44645.8185296354","43787.2574147116","39886.2306609742","42473.4310974492","",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4260.25289083354","4478.92122761984","4819.15402124755","5356.60126962056","6082.64611939161","7060.97864525226","8142.44700064732","8148.16188101661","8391.78305647643","8467.74337198253","9312.67682324446","10149.0532568877","9679.1762395513","10319.4227337961","10604.9559761764","11022.9901759608","10723.1047402608","11387.9790472674","10745.4115608599","10653.7155506641","10266.1762323806","12190.3072002662","12077.675936122","11752.5779228087","",
"Belarus","BLR","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4142.69454781786","3950.11706554126","3763.86448874994","3371.82012672964","3160.59875560469","3617.10199963941","3938.80101349145","4240.50535046941","4519.53917102514","4711.54152217914","4885.72725763753","5174.33493361284","5671.65675412763","6652.33901093174","7478.22480229072","8441.76595388369","9136.18163644125","10396.5059210621","10407.8660229705","11585.5716115757","12451.3727579652","12835.5971827651","12691.3560110307","12937.4382627506","12164.6610879104","11714.895064537","12511.0456027493","13165.7985338323","13453.5176500237","13422.0334978197","13962.0743014613","12924.8853570285","14013.0975575329","",
"Belize","BLZ","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23034.8343943525","24902.1817541757","26411.1571336251","23627.6306843209","22776.5677352226","22663.2628268655","19724.4000723161","18991.2884754175","20532.4451464221","24207.834505851","22374.7961100389","21550.9249102495","18684.8375269161","19347.0184590956","18361.9955342426","20167.0353798121","20923.5224429363","19396.2112661941","20512.1555567236","18216.1013049101","17593.1307305669","15842.1813592451","15813.2286437416","14144.007711151","14434.3384483108","14602.1404296032","13138.119366508","11148.0084138194","12395.8938923449","10604.1602018695","13789.8584619374","12984.1171461004","12315.2966510241","",
"Bermuda","BMU","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5429.53369458547","5396.20760784645","5521.14685400156","5598.31828893812","5763.95001406484","5755.91835641949","5787.59955616982","6042.69553056017","5884.03158963058","6014.15930039702","7029.79719240866","6253.87156720811","5357.01023755599","5579.24655309792","6156.54064906756","7161.58379162631","6665.30844550683","7071.2921789633","6951.34812326324","7714.29840866822","8449.62528776309","8639.93234565935","9767.94687277258","8150.00112954154","8174.8605119628","8417.73963162888","8604.67495769029","8494.67990808366","7738.99731062043","7431.32553218358","6962.40838420604","6809.24940639875","6662.93610684285","",
"Brazil","BRA","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15848.1035269922","15005.704829162","15467.7858127586","16127.4210985867","16137.5377921325","16444.9756973664","16701.4037421981","16190.6905812355","15937.9724436168","16317.6382858482","15903.6231772581","15639.5852243144","15847.0470719659","16434.3602943441","16118.8891690198","16107.72246145","16437.5670602096","16178.3952188446","15677.6860237097","17280.9891633237","18090.6651672762","17224.0371536768","17458.8794874233","17030.5730604046","16619.4350104324","17296.3998018947","17529.4293802445","17731.4283874884","17360.1019922742","18395.9575345798","18024.4732115724","17293.8650933731","17656.2095373267","",
"Barbados","BRB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41922.5344746397","37748.5475271364","39738.521907686","39177.1557813475","37800.4218981002","39963.0985358522","41168.3736456147","34399.3265515613","33127.2945954089","33955.9588876749","34607.3536603975","37641.5971756429","39846.170867435","40118.8025269085","43306.1229088434","42484.4753605691","40416.2493143326","41478.8065114569","34941.5216202129","30146.2256554691","30772.2307318268","30812.7222828032","29725.1864403445","31114.9944933165","30105.5859632778","29057.5698565876","29152.2168210014","29544.9696667639","32180.6463931786","32157.8494896042","31526.8528564718","34163.4904715815","32376.9980204914","",
"Brunei Darussalam","BRN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363469.895133582","333958.426275153","321501.804436483","314587.131344461","303515.413752586","302496.343299149","310882.132061176","281101.980470785","294364.954324487","295145.671257986","286991.216869011","294465.633242035","303331.415483361","299643.089180371","291416.842837131","299655.393554078","281776.394772589","264221.828890782","255508.632952491","260739.146780313","266000.877117348","261353.648519002","248084.47785691","240155.924252175","243325.217990225","239771.956762825","245170.474845007","194611.805914804","186925.818252613","169330.224579285","157299.366995758","162558.552618572","158746.378238272","",
